sample_name	unit_name	fq1	fq2	sra	adapters
SRR3725392	NA	NA	NA	SRR3725392	NA
SRR3725380	NA	NA	NA	SRR3725380	NA
SRR3725410	NA	NA	NA	SRR3725410	NA
SRR3725457	NA	NA	NA	SRR3725457	NA
SRR3725459	NA	NA	NA	SRR3725459	NA
SRR3725399	NA	NA	NA	SRR3725399	NA
SRR3725422	NA	NA	NA	SRR3725422	NA
SRR3725436	NA	NA	NA	SRR3725436	NA
SRR3725452	NA	NA	NA	SRR3725452	NA
SRR3725474	NA	NA	NA	SRR3725474	NA
SRR3725477	NA	NA	NA	SRR3725477	NA
SRR3725490	NA	NA	NA	SRR3725490	NA
SRR3725494	NA	NA	NA	SRR3725494	NA
SRR3725497	NA	NA	NA	SRR3725497	NA
SRR3725557	NA	NA	NA	SRR3725557	NA
SRR3725374	NA	NA	NA	SRR3725374	NA
SRR3725402	NA	NA	NA	SRR3725402	NA
SRR3725409	NA	NA	NA	SRR3725409	NA
SRR3725419	NA	NA	NA	SRR3725419	NA
SRR3725420	NA	NA	NA	SRR3725420	NA
SRR3725435	NA	NA	NA	SRR3725435	NA
SRR3725469	NA	NA	NA	SRR3725469	NA
SRR3725502	NA	NA	NA	SRR3725502	NA
SRR3725513	NA	NA	NA	SRR3725513	NA
SRR3725518	NA	NA	NA	SRR3725518	NA
SRR3725522	NA	NA	NA	SRR3725522	NA
SRR3725523	NA	NA	NA	SRR3725523	NA
SRR3725532	NA	NA	NA	SRR3725532	NA
SRR3725548	NA	NA	NA	SRR3725548	NA
SRR3725553	NA	NA	NA	SRR3725553	NA
SRR3725384	NA	NA	NA	SRR3725384	NA
SRR3725406	NA	NA	NA	SRR3725406	NA
SRR3725415	NA	NA	NA	SRR3725415	NA
SRR3725487	NA	NA	NA	SRR3725487	NA
SRR3725492	NA	NA	NA	SRR3725492	NA
SRR3725495	NA	NA	NA	SRR3725495	NA
SRR3725544	NA	NA	NA	SRR3725544	NA
SRR3725547	NA	NA	NA	SRR3725547	NA
SRR3725558	NA	NA	NA	SRR3725558	NA
SRR3725390	NA	NA	NA	SRR3725390	NA
SRR3725397	NA	NA	NA	SRR3725397	NA
SRR3725423	NA	NA	NA	SRR3725423	NA
SRR3725440	NA	NA	NA	SRR3725440	NA
SRR3725441	NA	NA	NA	SRR3725441	NA
SRR3725442	NA	NA	NA	SRR3725442	NA
SRR3725529	NA	NA	NA	SRR3725529	NA
SRR3725530	NA	NA	NA	SRR3725530	NA
SRR3725531	NA	NA	NA	SRR3725531	NA
SRR3725648	NA	NA	NA	SRR3725648	NA
SRR3725463	NA	NA	NA	SRR3725463	NA
SRR3725489	NA	NA	NA	SRR3725489	NA
SRR3725510	NA	NA	NA	SRR3725510	NA
SRR3725375	NA	NA	NA	SRR3725375	NA
SRR3725385	NA	NA	NA	SRR3725385	NA
SRR3725400	NA	NA	NA	SRR3725400	NA
SRR3725401	NA	NA	NA	SRR3725401	NA
SRR3725418	NA	NA	NA	SRR3725418	NA
SRR3725425	NA	NA	NA	SRR3725425	NA
SRR3725432	NA	NA	NA	SRR3725432	NA
SRR3725504	NA	NA	NA	SRR3725504	NA
SRR3725537	NA	NA	NA	SRR3725537	NA
SRR3725563	NA	NA	NA	SRR3725563	NA
SRR3725387	NA	NA	NA	SRR3725387	NA
SRR3725391	NA	NA	NA	SRR3725391	NA
SRR3725404	NA	NA	NA	SRR3725404	NA
SRR3725431	NA	NA	NA	SRR3725431	NA
SRR3725433	NA	NA	NA	SRR3725433	NA
SRR3725444	NA	NA	NA	SRR3725444	NA
SRR3725447	NA	NA	NA	SRR3725447	NA
SRR3725455	NA	NA	NA	SRR3725455	NA
SRR3725472	NA	NA	NA	SRR3725472	NA
SRR3725475	NA	NA	NA	SRR3725475	NA
SRR3725514	NA	NA	NA	SRR3725514	NA
SRR3725525	NA	NA	NA	SRR3725525	NA
SRR3725549	NA	NA	NA	SRR3725549	NA
SRR3725552	NA	NA	NA	SRR3725552	NA
SRR3725395	NA	NA	NA	SRR3725395	NA
SRR3725398	NA	NA	NA	SRR3725398	NA
SRR3725407	NA	NA	NA	SRR3725407	NA
SRR3725450	NA	NA	NA	SRR3725450	NA
SRR3725451	NA	NA	NA	SRR3725451	NA
SRR3725464	NA	NA	NA	SRR3725464	NA
SRR3725465	NA	NA	NA	SRR3725465	NA
SRR3725505	NA	NA	NA	SRR3725505	NA
SRR3725521	NA	NA	NA	SRR3725521	NA
SRR3725524	NA	NA	NA	SRR3725524	NA
SRR3725535	NA	NA	NA	SRR3725535	NA
SRR3725651	NA	NA	NA	SRR3725651	NA
SRR3725388	NA	NA	NA	SRR3725388	NA
SRR3725405	NA	NA	NA	SRR3725405	NA
SRR3725414	NA	NA	NA	SRR3725414	NA
SRR3725470	NA	NA	NA	SRR3725470	NA
SRR3725507	NA	NA	NA	SRR3725507	NA
SRR3725526	NA	NA	NA	SRR3725526	NA
SRR3725528	NA	NA	NA	SRR3725528	NA
SRR3725534	NA	NA	NA	SRR3725534	NA
SRR3725536	NA	NA	NA	SRR3725536	NA
SRR3725376	NA	NA	NA	SRR3725376	NA
SRR3725378	NA	NA	NA	SRR3725378	NA
SRR3725403	NA	NA	NA	SRR3725403	NA
SRR3725426	NA	NA	NA	SRR3725426	NA
SRR3725429	NA	NA	NA	SRR3725429	NA
SRR3725462	NA	NA	NA	SRR3725462	NA
SRR3725466	NA	NA	NA	SRR3725466	NA
SRR3725496	NA	NA	NA	SRR3725496	NA
SRR3725511	NA	NA	NA	SRR3725511	NA
SRR3725533	NA	NA	NA	SRR3725533	NA
SRR3725540	NA	NA	NA	SRR3725540	NA
SRR3725559	NA	NA	NA	SRR3725559	NA
SRR3725562	NA	NA	NA	SRR3725562	NA
SRR3725408	NA	NA	NA	SRR3725408	NA
SRR3725412	NA	NA	NA	SRR3725412	NA
SRR3725416	NA	NA	NA	SRR3725416	NA
SRR3725421	NA	NA	NA	SRR3725421	NA
SRR3725428	NA	NA	NA	SRR3725428	NA
SRR3725438	NA	NA	NA	SRR3725438	NA
SRR3725461	NA	NA	NA	SRR3725461	NA
SRR3725468	NA	NA	NA	SRR3725468	NA
SRR3725481	NA	NA	NA	SRR3725481	NA
SRR3725484	NA	NA	NA	SRR3725484	NA
SRR3725486	NA	NA	NA	SRR3725486	NA
SRR3725491	NA	NA	NA	SRR3725491	NA
SRR3725515	NA	NA	NA	SRR3725515	NA
SRR3725546	NA	NA	NA	SRR3725546	NA
SRR3725604	NA	NA	NA	SRR3725604	NA
SRR3725396	NA	NA	NA	SRR3725396	NA
SRR3725413	NA	NA	NA	SRR3725413	NA
SRR3725434	NA	NA	NA	SRR3725434	NA
SRR3725456	NA	NA	NA	SRR3725456	NA
SRR3725480	NA	NA	NA	SRR3725480	NA
SRR3725506	NA	NA	NA	SRR3725506	NA
SRR3725551	NA	NA	NA	SRR3725551	NA
SRR3725605	NA	NA	NA	SRR3725605	NA
SRR3725377	NA	NA	NA	SRR3725377	NA
SRR3725382	NA	NA	NA	SRR3725382	NA
SRR3725448	NA	NA	NA	SRR3725448	NA
SRR3725483	NA	NA	NA	SRR3725483	NA
SRR3725501	NA	NA	NA	SRR3725501	NA
SRR3725512	NA	NA	NA	SRR3725512	NA
SRR3725520	NA	NA	NA	SRR3725520	NA
SRR3725541	NA	NA	NA	SRR3725541	NA
SRR3725556	NA	NA	NA	SRR3725556	NA
SRR3725600	NA	NA	NA	SRR3725600	NA
