sample_name	unit_name	fq1	fq2	sra	adapters	bioproject	type	librarylayout	organism	latitude	longitude	bases
SRR17868041	NA	NA	NA	SRR17868041	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	33868520
SRR17868042	NA	NA	NA	SRR17868042	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	19538512
SRR17868043	NA	NA	NA	SRR17868043	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	67675034
SRR17868044	NA	NA	NA	SRR17868044	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	50787730
SRR17868045	NA	NA	NA	SRR17868045	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	43784664
SRR17868046	NA	NA	NA	SRR17868046	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	61173434
SRR17868047	NA	NA	NA	SRR17868047	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	49626472
SRR17868048	NA	NA	NA	SRR17868048	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	54936112
SRR17868049	NA	NA	NA	SRR17868049	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	53664086
SRR17868050	NA	NA	NA	SRR17868050	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	41295394
SRR17868051	NA	NA	NA	SRR17868051	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	39204046
SRR17868052	NA	NA	NA	SRR17868052	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	64013068
SRR17868053	NA	NA	NA	SRR17868053	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	51554076
SRR17868054	NA	NA	NA	SRR17868054	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	62282318
SRR17868055	NA	NA	NA	SRR17868055	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	61700184
SRR17868056	NA	NA	NA	SRR17868056	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	49547008
SRR17868057	NA	NA	NA	SRR17868057	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	70008386
SRR17868058	NA	NA	NA	SRR17868058	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	47633852
SRR17868059	NA	NA	NA	SRR17868059	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	60222274
SRR17868060	NA	NA	NA	SRR17868060	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	55468280
SRR17868061	NA	NA	NA	SRR17868061	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	56552482
SRR17868062	NA	NA	NA	SRR17868062	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	45777284
SRR17868063	NA	NA	NA	SRR17868063	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	44517900
SRR17868064	NA	NA	NA	SRR17868064	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	80939502
SRR17868065	NA	NA	NA	SRR17868065	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	48669894
SRR17868066	NA	NA	NA	SRR17868066	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	63331002
SRR17868067	NA	NA	NA	SRR17868067	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	43081528
SRR17868068	NA	NA	NA	SRR17868068	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	48126288
SRR17868069	NA	NA	NA	SRR17868069	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	56779436
SRR17868070	NA	NA	NA	SRR17868070	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	57215886
SRR17868071	NA	NA	NA	SRR17868071	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	69359430
SRR17868072	NA	NA	NA	SRR17868072	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	56968464
SRR17868073	NA	NA	NA	SRR17868073	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	43838242
SRR17868074	NA	NA	NA	SRR17868074	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	41863682
SRR17868075	NA	NA	NA	SRR17868075	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	57381436
SRR17868076	NA	NA	NA	SRR17868076	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	39973402
SRR17868077	NA	NA	NA	SRR17868077	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	49814296
SRR17868078	NA	NA	NA	SRR17868078	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	48321336
SRR17868079	NA	NA	NA	SRR17868079	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	51061640
SRR17868080	NA	NA	NA	SRR17868080	NA	PRJNA802976	AMPLICON	PAIRED	gut metagenome	37.41	127.13	59850840
