sample_name	unit_name	fq1	fq2	sra	adapters	bioproject	type	librarylayout	organism	latitude	longitude	bases
SRR3725392	NA	NA	NA	SRR3725392	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	4928754
SRR3725380	NA	NA	NA	SRR3725380	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	9688390
SRR3725410	NA	NA	NA	SRR3725410	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	567421
SRR3725457	NA	NA	NA	SRR3725457	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	136774
SRR3725459	NA	NA	NA	SRR3725459	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	12364309
SRR3725399	NA	NA	NA	SRR3725399	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	170863
SRR3725422	NA	NA	NA	SRR3725422	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	9176908
SRR3725436	NA	NA	NA	SRR3725436	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	4368148
SRR3725452	NA	NA	NA	SRR3725452	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	4066126
SRR3725474	NA	NA	NA	SRR3725474	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	6099489
SRR3725477	NA	NA	NA	SRR3725477	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	327482
SRR3725490	NA	NA	NA	SRR3725490	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	7536124
SRR3725494	NA	NA	NA	SRR3725494	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	2991255
SRR3725497	NA	NA	NA	SRR3725497	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	5702051
SRR3725557	NA	NA	NA	SRR3725557	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	2154144
SRR3725374	NA	NA	NA	SRR3725374	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	3990091
SRR3725402	NA	NA	NA	SRR3725402	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	117824
SRR3725409	NA	NA	NA	SRR3725409	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	663825
SRR3725419	NA	NA	NA	SRR3725419	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	8670719
SRR3725420	NA	NA	NA	SRR3725420	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	245534
SRR3725435	NA	NA	NA	SRR3725435	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	4843401
SRR3725469	NA	NA	NA	SRR3725469	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	158606
SRR3725502	NA	NA	NA	SRR3725502	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	8972769
SRR3725513	NA	NA	NA	SRR3725513	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	7250788
SRR3725518	NA	NA	NA	SRR3725518	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	4441244
SRR3725522	NA	NA	NA	SRR3725522	NA	PRJNA322554	AMPLICON	SINGLE	human gut metagenome	29.77152983	-95.22124444	7169488
